amount,hour,day_of_week,merchant_cat,device_type,location_match,txn_per_hour,new_beneficiary,is_anomaly,merchant_name,device_name
227.56351912153585,16,1,3,2,1,3,1,0,Utilities,Web
151.9402904873214,11,3,0,2,1,1,0,0,Food,Web
234.42889870027,8,6,2,2,1,1,0,0,Recharge,Web
19.246450003291272,19,1,4,1,1,1,0,0,Transfer,iOS
1632.8468791919406,8,5,4,2,1,2,0,0,Transfer,Web
139.97421074216325,2,1,0,0,1,0,1,0,Food,Android
52.31900573714316,16,5,2,0,1,4,0,0,Recharge,Android
63.0036781858499,10,3,2,1,1,4,0,0,Recharge,iOS
5631.214697468291,1,3,4,1,0,8,0,1,Transfer,iOS
296.0093724884945,10,0,0,1,1,2,0,0,Food,iOS
163.4967014594117,13,5,3,1,1,1,0,0,Utilities,iOS
475.06805820905106,15,0,0,1,1,2,1,0,Food,iOS
985.5336272897872,21,5,4,0,1,0,0,0,Transfer,Android
243.86692415632893,16,3,0,0,1,2,0,0,Food,Android
915.5011006817034,7,1,2,0,1,0,0,0,Recharge,Android
3292.5956908032963,11,5,1,2,1,2,0,0,Shopping,Web
24.920259337624383,4,3,4,1,1,0,0,0,Transfer,iOS
1558.8433042782192,15,5,1,2,1,0,0,0,Shopping,Web
1103.4263993093193,1,0,0,1,1,3,0,0,Food,iOS
164.9185963430784,7,2,2,0,1,1,0,0,Recharge,Android
2973.9028749150125,20,3,5,0,1,3,0,0,Entertainment,Android
936.9828539612885,10,3,1,1,1,2,1,0,Shopping,iOS
323.62039072364536,17,4,0,1,1,2,0,0,Food,iOS
332.81253999166086,20,4,4,0,1,0,0,0,Transfer,Android
93.29816839268095,9,0,4,1,1,2,0,0,Transfer,iOS
409.067332138367,20,3,5,2,1,1,0,0,Entertainment,Web
116.50052592381587,16,6,3,0,1,1,0,0,Utilities,Android
594.2466819267271,14,3,4,2,1,1,0,0,Transfer,Web
1471.573665647248,4,6,4,1,1,2,0,0,Transfer,iOS
223.26773649960606,21,6,2,1,1,3,0,0,Recharge,iOS
717.3093327727106,10,6,1,1,1,3,0,0,Shopping,iOS
509.28428920228,16,2,2,1,0,2,0,0,Recharge,iOS
917.6507143253549,8,2,1,0,1,1,0,0,Shopping,Android
308.5639652130134,8,4,0,1,1,1,1,0,Food,iOS
53.097127153967456,0,2,2,1,0,0,0,0,Recharge,iOS
217.24748672534295,14,3,5,0,1,2,0,0,Entertainment,Android
