amount,hour,merchant_cat,txn_type,card_type,is_international,velocity,is_new_merchant,mins_since_last,class,merchant_name,txn_type_name,card_name
32.93600589932539,22,4,3,0,0,0,0,327.2828518954319,0,Fuel,Contactless,Debit
119.51225323850176,9,2,1,0,0,0,0,2.648136194709839,0,Electronics,POS (In-Store),Debit
78.2311314255219,8,4,0,0,0,1,0,23.889581079720873,0,Fuel,Online,Debit
2.899120232919359,19,4,3,0,0,3,0,107.36033908488585,0,Fuel,Contactless,Debit
68.85279430116553,13,0,3,1,0,2,0,47.85272757985902,0,Food & Dining,Contactless,Credit
22.74440713556428,18,3,1,0,0,0,0,14.045455626185886,0,Travel,POS (In-Store),Debit
12.726550345186878,9,0,1,0,0,2,0,31.929522460469197,0,Food & Dining,POS (In-Store),Debit
82.35169598718407,9,3,0,0,0,3,0,74.95647587218416,0,Travel,Online,Debit
50.76073086091899,9,1,0,0,0,0,0,236.7146646342052,0,Shopping,Online,Debit
6.787900046424965,9,5,3,1,0,0,1,99.62045596278668,0,Healthcare,Contactless,Credit
39.30350358222247,14,4,3,0,0,1,0,330.4855169535632,0,Fuel,Contactless,Debit
260.3966792685338,19,1,0,0,0,4,0,78.10633777567672,0,Shopping,Online,Debit
28.289728625415744,15,4,1,0,0,1,0,370.7396405645769,0,Fuel,POS (In-Store),Debit
34.76857717655007,18,0,1,0,0,2,0,3.6791682852617287,0,Food & Dining,POS (In-Store),Debit
14.078601685465467,20,0,3,0,0,3,0,873.1379891348004,0,Food & Dining,Contactless,Debit
21.293526165482355,13,4,3,0,0,0,1,230.51698273060293,0,Fuel,Contactless,Debit
54.27930341338878,15,4,3,1,0,2,1,116.5160900732959,0,Fuel,Contactless,Credit
384.79517060814794,3,5,0,1,1,6,1,4.560954778449721,1,Healthcare,Online,Credit
59.93595720844859,4,1,1,1,0,2,0,21.014103870337443,0,Shopping,POS (In-Store),Credit
41.172593534939864,17,0,0,0,0,3,1,71.56290257059679,0,Food & Dining,Online,Debit
200.0,23,1,0,0,1,5,0,3.5216011416070576,1,Shopping,Online,Debit
9.767354184225383,11,2,0,0,0,1,0,26.926454248615787,0,Electronics,Online,Debit
233.13174381229484,17,4,3,0,0,0,0,274.57900489171567,0,Fuel,Contactless,Debit
78.2008366368632,19,5,0,0,0,0,0,54.50966186632455,0,Healthcare,Online,Debit
108.26816913951427,15,0,2,1,0,0,0,154.82994453937852,0,Food & Dining,ATM Withdrawal,Credit
200.0,0,2,2,2,1,5,1,0.5,1,Electronics,ATM Withdrawal,Prepaid
38.738973622793054,20,3,0,0,0,1,0,457.2058132222568,0,Travel,Online,Debit
42.44794291080513,17,3,3,1,0,5,0,275.0534067474747,0,Travel,Contactless,Credit
48.40487269849817,14,4,0,0,1,1,0,266.0335791400044,0,Fuel,Online,Debit
85.64810167427203,11,0,0,1,0,2,0,170.92494027482465,0,Food & Dining,Online,Credit
100.30794302214206,19,5,2,1,1,2,0,79.39905493672845,0,Healthcare,ATM Withdrawal,Credit
9.458750108536908,1,5,0,0,0,1,0,41.63552862068448,0,Healthcare,Online,Debit
91.79239687657855,9,1,1,1,0,4,0,9.34490464826568,0,Shopping,POS (In-Store),Credit
149.1668795294638,18,0,2,0,0,4,0,133.2616336768093,0,Food & Dining,ATM Withdrawal,Debit
